Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
Alcohol Pads,,Medical Supplies,McKesson,191089,A035,box,200,,15,30,7,,
"Anoscope, Lighted",,Medical Supplies,McKesson,131083,A045,box,25,,0,1,7,,
Travel Health Companion Booklet,,Office / Admin,Shoreland,CPC-A,B010,each,1,,50,200,7,,
"Basin, 16 oz Round, Sterile",,Medical Supplies,McKesson,161456,B600,each,1,,10,20,7,,
Contact Lens Case,,Lab Supplies,ProOptics,CL5OA,C030,pack,10,,2,10,7,,
"Cotton Swab, Non-Sterile, 8""",,Medical Supplies,McKesson,282621,C043,box,50,,15,35,7,,
"Medicine, 1 oz Cups",,Medication / Pharmacy,McKesson,188720,C060,pack,100,,2,12,7,,
"Graston Cream, PT, 4 oz. Jar",,Physical Therapy / Ortho,Graston Technique,INEM-JAR 4 oz,C090,jar,1,,8,20,7,,
"Distilled Water, 1 Gal",,Office / Admin,Guy Brown,24553800,D011,gallon,1,,,,7,,Missing par/max
Dual Enzymatic Instrument Detergent Liquid Concentrate,,Cleaning / Disinfection,McKesson,373982,D012,gallon,1,,1,4,7,,
Dual Enzymatic Instrument Detergent Foam,,Cleaning / Disinfection,McKesson,459650,D013,bottle,1,,2,4,7,,
"Sani-Wipes, Dispenser",,Cleaning / Disinfection,McKesson,880563,D025,can,160,,8,20,7,,
Scrub Brush,,Cleaning / Disinfection,McKesson,436489,D030,box,30,,1,2,7,,
"Drapes, Plastic Back, Non-Sterile",,Medical Supplies,McKesson,151896,D035,pack,25,,7,47,7,,
"Drapes, Patient Cover Sheets",,Medical Supplies,McKesson,40421,D040,box,100,,10,20,7,,
Sterile Procedure Drapes,,Medical Supplies,McKesson,153440,D045,pack,10,,10,30,7,,
Steridrapes,,Medical Supplies,McKesson,5717,D050,box,10,,1,4,7,,
"Adaptic Dressing, 3X3",,Medical Supplies,McKesson,4633,D071,pack,4,,5,17,7,,
"Tegaderm Dressing 4 X 4 3/4""",,Medical Supplies,McKesson,121652,D080,box,50,,1,4,7,,
"Coverlet Bandage, 3/4X3",,Medical Supplies,McKesson,1212116,D090,box,100,,12,27,7,,
"Coverlet Bandage, 7/8"" Spot",,Medical Supplies,McKesson,29503,D092,box,100,,2,6,7,,
"Coverlet Bandage, Knuckle",,Medical Supplies,McKesson,466873,D095,box,100,,2,6,7,,
"Dressing, Bandage 1"" Oval",,Medical Supplies,McKesson,1103072,D096,box,100,,6,18,7,,
"Kling, 2"" X145, Sterile",,Medical Supplies,McKesson,999367,D110,each,1,,12,48,7,,
"Kling, 3"" X75, Sterile",,Medical Supplies,McKesson,999364,D111,each,1,,12,48,7,,
"Kerlex, 4.5 X 6 Ply",,Medical Supplies,McKesson,10173,D120,each,1,,4,10,7,,
"Gauze Sponge, 2X2 Non-Sterile",,Medical Supplies,McKesson,9975,D130,pack,200,,5,100,7,,
"Gauze Sponge, 4X4 Non-Sterile",,Medical Supplies,McKesson,10001,D131,pack,200,,15,25,7,,
"Gauze Sponge, 2X2 Sterile",,Medical Supplies,McKesson,575163,D132,box,50,,2,8,7,,
"Gauze Sponge, 4X4 Sterile",,Medical Supplies,McKesson,688659,D133,tray,25,,4,6,7,,
"Cover Sponge, 4X3 Sterile",,Medical Supplies,McKesson,688661,D134,tray,1,,2,6,7,,
"Packing Gauze, Plain",,Medical Supplies,McKesson,224790,D141,jar,1,,0,1,7,,
"Steri Strips, 1/8""",,Medical Supplies,McKesson,5779,D150,box,50,,0,1,7,,
Mastisol Adhesive,,Medical Supplies,McKesson,384949,D160,each,1,,12,60,7,,
Detachol Adhesive Remover,,Medical Supplies,McKesson,916822,D161,each,1,,2,48,7,,
"Eye Dropper, Nalgene, 68Ml",,Medical Supplies,McKesson,4061110005,D190,pack,10,,5,15,7,,
"Electrodes, 3M Red Dot",,Medical Supplies,McKesson,512994,E018,pack,100,,10,40,7,,
EKG Paper F/Eli-150 Z-Fold Mortar,,Office / Admin,McKesson,546544,E022,pack,1,,4,24,7,,
Emesis Bag (Sicsac),,Medical Supplies,McKesson,187046,E030,pack,10,,0,10,7,,
Panty Liners,,Medical Supplies,McKesson,1197231,F010,pack,16,,5,25,7,,
Sanitary Napkins,,Office / Admin,HP Products,113013,F011,pack,10,,5,30,7,,
Tampons,,Medical Supplies,McKesson,999966,F012,pack,50,,5,15,7,,
